player_id,match_id,minutes_played,rpe,session_load,acute_load,chronic_load,acwr,sleep_deviation,reaction_time_deviation,recovery_drop,warning_points,baseline_training_load,baseline_reaction_time,baseline_sleep,baseline_recovery,reaction_time_ms,sleep_duration,recovery_score
P001,M001,68,6.35,431.8,431.8,431.8,1.0,0.0,0.0,0.0,0,431.8,258.52,7.88,76.14,258.52,7.88,76.14
P001,M002,56,6.37,356.72,431.8,431.8,1.0,0.040000000000000036,-7.179999999999978,-0.010000000000005116,0,431.8,258.52,7.88,76.14,251.34,7.92,76.15
P001,M003,75,7.13,534.75,394.26,394.26,1.0,0.040000000000000036,1.1299999999999955,0.7950000000000159,0,394.26,254.93,7.9,76.14500000000001,256.06,7.94,75.35
P001,M004,67,4.97,332.99,441.09,441.09,1.0,-0.3033333333333337,-1.7066666666666492,1.789999999999992,0,441.09,255.30666666666664,7.913333333333334,75.88,253.6,7.61,74.09
P001,M005,58,6.02,349.16,408.15333333333336,414.065,0.9857228534972369,0.24249999999999972,-1.6500000000000057,0.26250000000000284,0,414.065,254.88,7.8375,75.4325,253.23,8.08,75.17
P001,M006,58,6.21,360.18,405.6333333333334,401.084,1.0113425949011514,-0.07600000000000051,3.6100000000000136,-2.8700000000000045,0,401.084,254.55,7.886,75.38,258.16,7.81,78.25
P001,M007,62,6.55,406.1,347.4433333333333,394.26666666666665,0.8812394318566115,-0.05333333333333368,1.3083333333333371,-0.061666666666667425,0,394.26666666666665,255.15166666666664,7.873333333333334,75.85833333333333,256.46,7.82,75.92
P001,M008,79,6.91,545.89,371.81333333333333,395.95714285714286,0.9390241849165976,0.2942857142857145,6.151428571428596,-1.0828571428571365,0,395.95714285714286,255.3385714285714,7.865714285714286,75.86714285714287,261.49,8.16,76.95
P001,M009,62,6.62,410.44,437.39000000000004,414.69875,1.0547174304238922,-0.04249999999999954,1.7624999999999886,1.4424999999999955,0,414.69875,256.1075,7.9025,76.0025,257.87,7.86,74.56
P001,M010,72,4.69,337.68,454.1433333333334,414.22555555555556,1.0963672502635442,0.2922222222222217,-10.073333333333352,0.5722222222222371,0,414.22555555555556,256.30333333333334,7.897777777777778,75.84222222222223,246.23,8.19,75.27
P001,M011,76,7.04,535.04,431.33666666666664,406.571,1.0609135099814464,0.35299999999999976,3.584000000000003,-0.8449999999999989,0,406.571,255.296,7.927,75.785,258.88,8.28,76.63
P001,M012,62,5.9,365.8,427.71999999999997,416.895,1.0259657707576249,-0.039090909090909065,-7.091818181818184,-0.43818181818181756,0,418.25,255.62181818181818,7.959090909090909,75.86181818181818,248.53,7.92,76.3
P001,M013,65,5.52,358.8,412.84,417.803,0.9881211958746107,0.03416666666666668,-6.150833333333338,1.85833333333332,0,413.87916666666666,255.03083333333333,7.9558333333333335,75.89833333333333,248.88,7.99,74.04
P001,M014,77,5.19,399.63,419.87999999999994,400.20799999999997,1.0491544396913604,0.041538461538461746,-8.957692307692326,-0.34461538461538055,0,409.6423076923077,254.55769230769232,7.958461538461538,75.75538461538461,245.6,8.0,76.1
P001,M015,83,6.4,531.2,374.74333333333334,406.872,0.9210349528434822,0.09857142857142964,-3.087857142857132,-0.6700000000000017,0,408.9271428571428,253.91785714285714,7.961428571428571,75.78,250.83,8.06,76.45
P001,M016,71,5.9,418.9,429.8766666666667,425.076,1.0112936667011703,-0.02799999999999958,8.437999999999988,1.714666666666659,0,417.07866666666666,253.712,7.968,75.82466666666666,262.15,7.94,74.11
