player_id,match_id,minutes_played,rpe,session_load,stress_level,reaction_time_ms_match,sleep_duration_match,sleep_quality,recovery_score_match,name,age,position,team,goals,assists,yellow_cards,red_cards,matches_played,reaction_time_ms_player,sleep_duration_player,recovery_score_player,minutes_played_metric,rpe_metric,session_load_metric,acute_load,chronic_load,acwr,sleep_deviation,reaction_time_deviation,recovery_drop,warning_points,baseline_training_load,baseline_reaction_time,baseline_sleep,baseline_recovery,reaction_time_ms,sleep_duration,recovery_score
P001,M001,68,6.35,431.8,0.0,258.52,7.88,87.11,76.14,Player 1,21,Forward,Team C,20,3,0,2,13,253,8.01,75,68,6.35,431.8,431.8,431.8,1.0,0.0,0.0,0.0,0,431.8,258.52,7.88,76.14,258.52,7.88,76.14
P001,M002,56,6.37,356.72,0.0,251.34,7.92,89.04,76.15,Player 1,21,Forward,Team C,20,3,0,2,13,253,8.01,75,56,6.37,356.72,431.8,431.8,1.0,0.04,-7.179999999999978,-0.0100000000000051,0,431.8,258.52,7.88,76.14,251.34,7.92,76.15
P001,M003,75,7.13,534.75,0.0,256.06,7.94,91.83,75.35,Player 1,21,Forward,Team C,20,3,0,2,13,253,8.01,75,75,7.13,534.75,394.26,394.26,1.0,0.04,1.1299999999999957,0.7950000000000159,0,394.26,254.93,7.9,76.14500000000001,256.06,7.94,75.35
P001,M004,67,4.97,332.99,0.0,253.6,7.61,78.55,74.09,Player 1,21,Forward,Team C,20,3,0,2,13,253,8.01,75,67,4.97,332.99,441.09,441.09,1.0,-0.3033333333333337,-1.7066666666666492,1.789999999999992,0,441.09,255.30666666666664,7.913333333333334,75.88,253.6,7.61,74.09
P001,M005,58,6.02,349.16,0.0,253.23,8.08,88.03,75.17,Player 1,21,Forward,Team C,20,3,0,2,13,253,8.01,75,58,6.02,349.16,408.15333333333336,414.065,0.9857228534972368,0.2424999999999997,-1.6500000000000057,0.2625000000000028,0,414.065,254.88,7.8375,75.4325,253.23,8.08,75.17
P001,M006,58,6.21,360.18,0.0,258.16,7.81,85.7,78.25,Player 1,21,Forward,Team C,20,3,0,2,13,253,8.01,75,58,6.21,360.18,405.6333333333334,401.084,1.0113425949011514,-0.0760000000000005,3.6100000000000136,-2.8700000000000045,0,401.084,254.55,7.886,75.38,258.16,7.81,78.25
P001,M007,62,6.55,406.1,0.0,256.46,7.82,87.66,75.92,Player 1,21,Forward,Team C,20,3,0,2,13,253,8.01,75,62,6.55,406.1,347.4433333333333,394.26666666666665,0.8812394318566115,-0.0533333333333336,1.3083333333333371,-0.0616666666666674,0,394.26666666666665,255.15166666666664,7.873333333333334,75.85833333333333,256.46,7.82,75.92
P001,M008,79,6.91,545.89,0.0,261.49,8.16,90.56,76.95,Player 1,21,Forward,Team C,20,3,0,2,13,253,8.01,75,79,6.91,545.89,371.8133333333333,395.95714285714286,0.9390241849165976,0.2942857142857145,6.151428571428596,-1.0828571428571363,0,395.95714285714286,255.3385714285714,7.865714285714286,75.86714285714287,261.49,8.16,76.95
P001,M009,62,6.62,410.44,0.0,257.87,7.86,88.19,74.56,Player 1,21,Forward,Team C,20,3,0,2,13,253,8.01,75,62,6.62,410.44,437.39,414.69875,1.0547174304238922,-0.0424999999999995,1.7624999999999886,1.4424999999999957,0,414.69875,256.1075,7.9025,76.0025,257.87,7.86,74.56
P001,M010,72,4.69,337.68,0.0,246.23,8.19,83.37,75.27,Player 1,21,Forward,Team C,20,3,0,2,13,253,8.01,75,72,4.69,337.68,454.1433333333334,414.2255555555556,1.0963672502635442,0.2922222222222217,-10.073333333333352,0.5722222222222371,0,414.2255555555556,256.30333333333334,7.897777777777778,75.84222222222223,246.23,8.19,75.27
P001,M011,76,7.04,535.04,0.0,258.88,8.28,91.6,76.63,Player 1,21,Forward,Team C,20,3,0,2,13,253,8.01,75,76,7.04,535.04,431.3366666666666,406.571,1.0609135099814464,0.3529999999999997,3.584000000000003,-0.8449999999999989,0,406.571,255.296,7.927,75.785,258.88,8.28,76.63
P001,M012,62,5.9,365.8,0.0,248.53,7.92,87.48,76.3,Player 1,21,Forward,Team C,20,3,0,2,13,253,8.01,75,62,5.9,365.8,427.72,416.895,1.0259657707576249,-0.039090909090909,-7.091818181818184,-0.4381818181818175,0,418.25,255.62181818181816,7.959090909090909,75.86181818181818,248.53,7.92,76.3
