feature,injured_mean,non_injured_mean,mean_difference,standardized_difference
warning_points_mean,0.25185185185185177,0.0,0.25185185185185177,20.80035987093095
sleep_deviation_min,-1.5941378971046152,-0.3234363615027231,-1.270701535601892,-11.780110694328528
reaction_time_deviation_max,34.290821156550514,8.552027318773737,25.738793837776775,11.166381310845168
sleep_deviation_mean,-0.10793601407171274,-0.0016354586446903725,-0.10630055542702237,-3.8253174920988786
reaction_time_deviation_mean,1.8504881880644133,-0.06475563807012695,1.9152438261345401,2.9009305966933354
recovery_drop_mean,1.257946757514257,0.11005966147414213,1.147887096040115,2.7449694939612597
session_load_max,113.33333333333333,102.98181818181818,10.351515151515144,2.72473489091587
acute_load_max,103.6888888888889,95.56363636363636,8.125252525252534,1.7705711626504266
recovery_drop_min,-5.586966922796233,-4.039286299851514,-1.5476806229447186,-1.5893540574134952
acwr_max,1.1640078292203686,1.130830391250976,0.03317743796939254,1.175017277059058
session_load_mean,84.08,81.67272727272727,2.4072727272727263,1.1170123136026013
acute_load_mean,84.12592592592593,81.6,2.5259259259259323,1.0781582013744095
chronic_load_mean,83.77089417989417,81.49445454545454,2.276439634439626,0.9499173256824
acwr_mean,1.0041471953437924,1.0012327074841005,0.002914487859691839,0.31241445108807514
warning_points_max,3.0,0.0,3.0,0.0
